date,temp_max,temp_min,month,temp
2012-01-01,30.4,23.8,1,27.1
2012-01-02,27.7,25.2,1,26.45
2012-01-03,27.0,24.1,1,25.55
2012-01-04,27.6,24.2,1,25.9
2012-01-05,28.9,23.7,1,26.299999999999997
2012-01-06,29.1,23.6,1,26.35
2012-01-07,26.5,23.6,1,25.05
2012-01-08,29.1,23.7,1,26.4
2012-01-09,29.5,24.0,1,26.75
2012-01-10,27.1,23.9,1,25.5
2012-01-11,28.7,23.8,1,26.25
2012-01-12,31.0,23.4,1,27.2
2012-01-13,29.7,24.4,1,27.049999999999997
2012-01-14,27.0,24.4,1,25.7
2012-01-15,27.2,23.4,1,25.299999999999997
2012-01-16,28.2,23.0,1,25.6
2012-01-17,26.9,23.4,1,25.15
2012-01-18,26.4,23.2,1,24.799999999999997
2012-01-19,29.1,22.5,1,25.8
2012-01-20,28.4,23.2,1,25.799999999999997
2012-01-21,28.4,23.6,1,26.0
2012-01-22,26.6,23.3,1,24.950000000000003
2012-01-23,29.6,22.8,1,26.200000000000003
2012-01-24,26.7,23.5,1,25.1
2012-01-25,27.7,23.4,1,25.549999999999997
2012-01-26,27.8,23.4,1,25.6
2012-01-27,29.8,23.4,1,26.6
2012-01-28,29.3,23.5,1,26.4
2012-01-29,30.4,23.6,1,27.0
2012-01-30,25.9,23.9,1,24.9
2012-01-31,27.1,23.6,1,25.35
2012-02-01,29.5,23.3,2,26.4
2012-02-02,28.5,23.5,2,26.0
2012-02-03,27.7,23.6,2,25.65
2012-02-04,30.5,24.2,2,27.35
2012-02-05,29.2,24.1,2,26.65
2012-02-06,29.8,24.1,2,26.950000000000003
2012-02-07,27.9,24.1,2,26.0
2012-02-08,29.5,23.7,2,26.6
2012-02-09,28.8,24.3,2,26.55
2012-02-10,24.7,23.3,2,24.0
2012-02-11,27.8,23.1,2,25.450000000000003
2012-02-12,28.3,23.4,2,25.85
2012-02-13,30.4,23.1,2,26.75
2012-02-14,29.2,23.4,2,26.299999999999997
2012-02-15,27.1,23.2,2,25.15
2012-02-16,27.6,22.9,2,25.25
2012-02-17,26.8,22.7,2,24.75
2012-02-18,28.0,22.3,2,25.15
2012-02-19,29.6,23.0,2,26.3
2012-02-20,27.6,23.4,2,25.5
2012-02-21,27.4,23.4,2,25.4
2012-02-22,26.1,23.2,2,24.65
2012-02-23,29.1,22.7,2,25.9
2012-02-24,27.7,23.1,2,25.4
2012-02-25,27.0,23.4,2,25.2
2012-02-26,28.7,23.1,2,25.9
2012-02-27,28.8,23.5,2,26.15
2012-02-28,27.2,23.0,2,25.1
2012-02-29,27.4,23.0,2,25.2
2012-03-01,24.8,22.8,3,23.8
2012-03-02,27.5,22.9,3,25.2
2012-03-03,29.7,22.7,3,26.2
2012-03-04,28.5,23.1,3,25.8
2012-03-05,29.2,23.2,3,26.2
2012-03-06,26.8,23.6,3,25.200000000000003
2012-03-07,28.3,23.1,3,25.700000000000003
2012-03-08,27.1,23.1,3,25.1
2012-03-09,25.0,23.1,3,24.05
2012-03-10,28.1,22.3,3,25.200000000000003
2012-03-11,28.5,23.1,3,25.8
2012-03-12,30.5,23.0,3,26.75
2012-03-13,28.6,23.7,3,26.15
2012-03-14,28.9,23.3,3,26.1
2012-03-15,27.8,23.6,3,25.700000000000003
2012-03-16,26.6,23.4,3,25.0
2012-03-17,29.5,23.3,3,26.4
2012-03-18,26.4,23.7,3,25.049999999999997
2012-03-19,30.7,22.9,3,26.799999999999997
2012-03-20,30.2,23.5,3,26.85
2012-03-21,30.7,23.8,3,27.25
2012-03-22,27.6,23.8,3,25.700000000000003
2012-03-23,30.1,23.9,3,27.0
2012-03-24,27.5,23.9,3,25.7
2012-03-25,28.1,23.4,3,25.75
2012-03-26,30.0,23.4,3,26.7
2012-03-27,28.6,23.6,3,26.1
2012-03-28,27.9,23.6,3,25.75
2012-03-29,30.5,23.6,3,27.05
2012-03-30,30.6,23.7,3,27.15
2012-03-31,28.9,24.1,3,26.5
2012-04-01,30.0,24.0,4,27.0
2012-04-02,28.8,24.6,4,26.700000000000003
2012-04-03,28.2,23.9,4,26.049999999999997
2012-04-04,28.3,23.8,4,26.05
2012-04-05,29.6,23.3,4,26.450000000000003
2012-04-06,29.8,24.2,4,27.0
2012-04-07,27.8,24.1,4,25.950000000000003
2012-04-08,28.5,23.5,4,26.0
2012-04-09,28.6,23.7,4,26.15
2012-04-10,29.9,23.9,4,26.9
2012-04-11,29.2,24.3,4,26.75
2012-04-12,25.9,23.8,4,24.85
2012-04-13,29.0,23.0,4,26.0
2012-04-14,29.7,23.5,4,26.6
2012-04-15,30.0,24.2,4,27.1
2012-04-16,27.5,23.8,4,25.65
2012-04-17,30.7,23.3,4,27.0
2012-04-18,28.4,23.5,4,25.95
2012-04-19,28.1,24.0,4,26.05
2012-04-20,29.3,23.1,4,26.200000000000003
2012-04-21,29.5,23.9,4,26.7
2012-04-22,29.6,23.9,4,26.75
2012-04-23,27.5,24.2,4,25.85
2012-04-24,25.2,23.7,4,24.45
2012-04-25,29.7,23.5,4,26.6
2012-04-26,29.8,23.9,4,26.85
2012-04-27,29.3,23.6,4,26.450000000000003
2012-04-28,28.1,24.3,4,26.200000000000003
2012-04-29,30.0,23.5,4,26.75
2012-04-30,29.6,23.5,4,26.55
2012-05-01,28.9,24.0,5,26.45
2012-05-02,26.4,23.8,5,25.1
2012-05-03,27.9,23.0,5,25.45
2012-05-04,27.4,23.5,5,25.45
2012-05-05,29.2,23.2,5,26.2
2012-05-06,29.4,23.8,5,26.6
