hora,velocidade,direcao,lat,lon,u,v
2012-01-01 00:00:00,16.4,40,-1.4558299999999997,-49.00444,-10.541716798859243,-12.563128867151239
2012-01-01 01:00:00,14.3,43,-1.4558299999999997,-49.00444,-9.752576548893728,-10.458357933154138
2012-01-01 02:00:00,14.0,42,-1.4558299999999997,-49.00444,-9.367828489024015,-10.40402755668352
2012-01-01 03:00:00,13.2,43,-1.4558299999999997,-49.00444,-9.00237835282498,-9.65386886137305
2012-01-01 04:00:00,12.2,47,-1.4558299999999997,-49.00444,-8.922515159753878,-8.320379992762481
2012-01-01 05:00:00,12.0,49,-1.4558299999999997,-49.00444,-9.056514962673264,-7.872708347886087
2012-01-01 06:00:00,12.2,43,-1.4558299999999997,-49.00444,-8.320379992762481,-8.922515159753878
2012-01-01 07:00:00,12.0,41,-1.4558299999999997,-49.00444,-7.872708347886087,-9.056514962673264
2012-01-01 08:00:00,13.7,45,-1.4558299999999997,-49.00444,-9.6873629022557,-9.687362902255702
2012-01-01 09:00:00,14.3,51,-1.4558299999999997,-49.00444,-11.113187248834684,-8.999281592012677
2012-01-01 10:00:00,15.1,57,-1.4558299999999997,-49.00444,-12.663925575975902,-8.224049428726909
2012-01-01 11:00:00,14.7,59,-1.4558299999999997,-49.00444,-12.60035932032105,-7.571059701177796
2012-01-01 12:00:00,13.1,53,-1.4558299999999997,-49.00444,-10.462125181619536,-7.883776803291833
2012-01-01 13:00:00,11.0,49,-1.4558299999999997,-49.00444,-8.301805382450492,-7.2166493188955805
2012-01-01 14:00:00,14.1,40,-1.4558299999999997,-49.00444,-9.063305296580204,-10.80122664797759
2012-01-01 15:00:00,12.9,27,-1.4558299999999997,-49.00444,-5.856477446640153,-11.493984162029946
2012-01-01 16:00:00,12.1,23,-1.4558299999999997,-49.00444,-4.727846654720213,-11.138108726774528
2012-01-01 17:00:00,14.0,29,-1.4558299999999997,-49.00444,-6.7873346834487185,-12.24467589995154
2012-01-01 18:00:00,13.5,44,-1.4558299999999997,-49.00444,-9.377888001196464,-9.711087304571791
2012-01-01 19:00:00,14.2,36,-1.4558299999999997,-49.00444,-8.346550582553117,-11.488041320124253
2012-01-01 20:00:00,14.6,33,-1.4558299999999997,-49.00444,-7.951729911219395,-12.24459029200319
2012-01-01 21:00:00,12.9,36,-1.4558299999999997,-49.00444,-7.582429754572904,-10.436319227436822
2012-01-01 22:00:00,13.0,44,-1.4558299999999997,-49.00444,-9.030558815966964,-9.351417404402465
2012-01-01 23:00:00,14.5,48,-1.4558299999999997,-49.00444,-10.775599969422217,-9.702393792203445
2012-01-02 00:00:00,16.1,48,-1.4558299999999997,-49.00444,-11.964631690186048,-10.773002762377619
2012-01-02 01:00:00,17.3,47,-1.4558299999999997,-49.00444,-12.652419038011649,-11.798571629081223
2012-01-02 02:00:00,18.9,48,-1.4558299999999997,-49.00444,-14.04543720152275,-12.64656846018242
